GP,Year,Driver,Team,DriverPointsBefore,TeamPointsBefore,DriverRecentForm,TeamRecentForm,QualifyingTime (s),AvgRaceTime (s),StartPosition,EndPosition
Monaco Grand Prix,2018,ERI,Sauber,2.0,11.0,13.333333333333334,11.333333333333334,73.265,79.86388311688312,16.0,11.0
Monaco Grand Prix,2018,PER,Force India,17.0,18.0,8.0,14.666666666666666,72.154,79.9276103896104,9.0,12.0
Monaco Grand Prix,2018,MAG,Haas F1 Team,19.0,19.0,9.666666666666666,13.0,73.393,79.90820779220779,19.0,13.0
Monaco Grand Prix,2018,VAN,McLaren,8.0,40.0,12.333333333333334,10.666666666666666,72.44,80.02582894736842,12.0,14.0
Monaco Grand Prix,2018,GRO,Haas F1 Team,0.0,19.0,16.666666666666668,13.0,72.728,80.36821052631579,18.0,15.0
Monaco Grand Prix,2018,SIR,Williams,0.0,4.0,16.333333333333332,15.0,72.521,80.7101447368421,13.0,16.0
Monaco Grand Prix,2018,STR,Williams,4.0,4.0,11.0,15.0,73.323,81.50502666666667,17.0,17.0
Monaco Grand Prix,2018,LEC,Sauber,9.0,11.0,11.666666666666666,11.333333333333334,72.714,79.45836231884059,14.0,18.0
Monaco Grand Prix,2018,HAR,Toro Rosso,1.0,13.0,14.0,14.333333333333334,73.179,79.42576811594202,15.0,19.0
Monaco Grand Prix,2018,ALO,McLaren,32.0,40.0,7.333333333333333,10.666666666666666,72.11,79.51213725490196,7.0,20.0
Canadian Grand Prix,2018,VET,Ferrari,96.0,156.0,3.3333333333333335,7.666666666666667,70.764,77.70317391304349,1.0,1.0
Canadian Grand Prix,2018,BOT,Mercedes,68.0,178.0,7.0,3.3333333333333335,70.857,77.76169565217391,2.0,2.0
Canadian Grand Prix,2018,VER,Red Bull Racing,35.0,107.0,9.333333333333334,5.0,70.937,77.73714492753624,3.0,3.0
Canadian Grand Prix,2018,RIC,Red Bull Racing,72.0,107.0,7.666666666666667,5.0,71.116,77.84949275362318,6.0,4.0
Canadian Grand Prix,2018,HAM,Mercedes,110.0,178.0,1.6666666666666667,3.3333333333333335,70.996,77.91855072463768,4.0,5.0
Canadian Grand Prix,2018,RAI,Ferrari,60.0,156.0,7.666666666666667,7.666666666666667,71.095,77.96589855072463,5.0,6.0
Canadian Grand Prix,2018,HUL,Renault,26.0,46.0,15.333333333333334,12.666666666666666,71.973,79.04132352941177,7.0,7.0
Canadian Grand Prix,2018,SAI,Renault,20.0,46.0,7.333333333333333,12.666666666666666,72.168,79.06833823529412,9.0,8.0
Canadian Grand Prix,2018,OCO,Force India,9.0,26.0,13.666666666666666,11.333333333333334,72.084,79.14182352941177,8.0,9.0
Canadian Grand Prix,2018,LEC,Sauber,9.0,11.0,11.333333333333334,14.0,72.661,79.19442647058823,13.0,10.0
Canadian Grand Prix,2018,GAS,Toro Rosso,18.0,19.0,12.666666666666666,15.0,73.047,79.11011764705883,16.0,11.0
